freetype2 2.14.1-1
frei0r-plugins 2.5.0-1
fribidi 1.0.16-2
fsearch 0.2.3-3
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fwupd 2.0.18-1
fwupd-efi 1.8-1
fzf 0.67.0-1
gamemode 1.8.2-1
gamescope 3.16.18-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gegl 0.4.64-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.26-1
gflags 2.2.2-5
gfxstream 0.1.2-2
ghostscript 10.06.0-1
giflib 5.2.2-2
gimp 3.0.6-2
git 2.52.0-2
gjs 2:1.86.0-1
gl2ps 1.4.2-3
glew 2.2.0-7
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.86.3-1
glibc 2.42+r33+gde1fe81f4714-1
glibc-locales 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.2-1
glslang 1:1.4.328.1-1
glu 9.0.3-2
glusterfs 1:11.2-1
glycin 2.0.7-1
gmp 6.3.0-2
gnome-calculator 49.2-1
gnome-desktop 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-disk-utility 46.1-2
gnome-multi-writer 3.35.90-4
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.8-4
gnustep-base 1.31.1-2
gnutls 3.8.11-2
go 2:1.25.5-1
gobject-introspection-runtime 1.86.0-1
google-glog 0.7.1-1
goverlay 1.6.1-1
gpart 0.3-5
gparted 1.7.0-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpu-screen-recorder r1228.4363f8b-1
gpu-screen-recorder-notification r81.a205222-1
gpu-screen-recorder-ui r454.e68a342-1
gpu-viewer 3.23-1
granite 1:6.2.0-1
graphene 1.10.8-2
graphicsmagick 1.3.46-1
graphite 1:1.3.14-5
graphviz 14.0.5-1
grep 3.12-2
groff 1.23.0-7
grub 2:2.14rc1-3
grub-btrfs 4.14-1
grub-customizer 5.2.5-2
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.23-1
gsmartcontrol 2.0.2-1
gspell 1.14.2-1
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.9-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad 1.26.9-1
gst-plugins-bad-libs 1.26.9-1
gst-plugins-base 1.26.9-1
gst-plugins-base-libs 1.26.9-1
gst-plugins-good 1.26.9-1
gst-plugins-ugly 1.26.9-1
gstreamer 1.26.9-1
gtest 1.17.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
gts 0.7.6.121130-5
gufw 26.04-1
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-smb 1.58.0-2
gwenview 25.12.0-1
gzip 1.14-2
handbrake 1.10.2-4
hardinfo2 2.2.13-1
harfbuzz 12.2.0-2
harfbuzz-icu 12.2.0-2
hdf5 1.14.6-5
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hiredis 1.3.0-1
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.402-1
hwinfo 25.0-2
hwloc 2.12.2-1
hyphen 2.8.8-6
i2c-tools 4.4-3
iana-etc 20251114-1
icoextract 0.2.0-1
icu 78.1-1
ijs 0.35-6
imagemagick 7.1.2.10-1
imath 3.2.2-2
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-2
innoextract 1.9-14
install-grub 2:2.14rc1-3
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-mkl 2025.0.1-3
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intel-ucode 20251111-1
inxi 3.3.40.1-1
iperf3 3.20-1
iproute2 6.18.0-1
ipscan 3.9.3-1
iptables 1:1.8.11-2
