7zip 25.01-1
neofetch 7.1.0-2
networkmanager 1.54.2-1
networkmanager-l2tp 1.20.20-4
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.3-1
networkmanager-vpnc 1.4.0-2
nfs-utils 2.8.4-1
noto-fonts 1:2025.12.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
numlockx 1.2-6
nvme-cli 2.16-1
nvtop 3.2.0-1
okular 25.12.0-1
onnxruntime-rocm 1.23.2-3
opencl-amd 1:7.1.1-1
opencl-amd-dev 1:7.1.1-1
opengl-man-pages 20240713-2
openssh 10.2p1-2
openssl-1.1 1.1.1.w-2
orca-slicer 1:2.3.1-3
os-prober 1.83-1
packagekit-qt6 1.1.4-1
pamac-cli 11.7.4-1
pamac-gtk3 10.7.0-1
pamac-tray-icon-plasma 0.1.3-3
pantheon-calendar 8.0.1-1
papirus-icon-theme 20250501-1
pavucontrol 1:6.2-1
pcmanfm-qt 2.3.0-2
perl 5.42.0-1
perl-file-mimeinfo 0.35-3
phonon-qt6-vlc 0.12.0-5
plasma-browser-integration 6.5.4-1
plasma-desktop 6.5.4-1
plasma-nm 6.5.4-1
plasma-pa 6.5.4-1
plasma-sdk 6.5.4-1
plasma-systemmonitor 6.5.4-1
plasma-thunderbolt 6.5.4-1
plasma-workspace 6.5.4-1
plasma-workspace-wallpapers 6.5.4-1
plymouth 24.004.60-16
plymouth-kcm 6.5.4-1
plymouth-theme-manjaro 2.2-1
poppler-data 0.4.12-2
power-profiles-daemon 0.30-1
powerdevil 6.5.4-1
powertop 2.15-2
print-manager 1:6.5.4-1
prismlauncher 9.4-1
protontricks 1.13.1-1
protonup-qt 2.14.0-1
prusa-slicer 2.9.4-1
python-pillow 12.0.0-2
python-pip 25.3-1
python-pipx 1.8.0-1
python-pygraphviz 1.14-3
python-pyqt5 5.15.11-3
python-pysmbc 1.0.25.1-4
python-pytorch-rocm 2.9.1-5
python-reportlab 4.2.2-5
qbittorrent-enhanced 5.1.3.10-1
qemu-full 10.1.2-3
qemu-guest-agent 10.1.2-3
qt6-imageformats 6.10.1-1
qt6-virtualkeyboard 6.10.1-1
razergenie 1.3.0-1
rmg 0.8.8-1
rpi-imager 1.9.6-1
rsync 3.4.1-2
rust 1:1.91.1-2
s-nail 14.9.25-1
s-tui 1.2.0-1
samba 2:4.23.3-2
sbctl 0.18-1
screen 5.0.1-3
sddm 0.21.0-6
sddm-breath-theme 24.0.0-4
sddm-kcm 6.5.4-1
sdl2_net 1:2.2.0-2
sdl2_ttf 2.24.0-2
skanlite 25.12.0-1
sof-firmware 2025.05.1-1
spectacle 1:6.5.4-1
spice-vdagent 0.23.0-1
spicetify-cli 2.42.5-1
spirv-headers 1:1.4.328.1-4
spotify 1:1.2.77.358-1
sshfs 3.7.3-3
steam 1.0.0.85-2
sudo 1.9.17.p2-1
sysfsutils 2.1.1-2
system-config-printer 1.5.18-5
systemdgenie 0.99.0-6
systemsettings 6.5.4-1
terminus-font 4.49.1-8
texinfo 7.2-1
tigervnc-viewer 1.15.0-1
timeshift 25.07.7-1
timeshift-autosnap-manjaro 0.10.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-5
ttf-indic-otf 0.2-12
ttf-liberation 2.1.5-2
udev-usb-sync 1.0-1
udiskie 2.5.8-1
udisks2 2.11.0-1
umu-launcher 1.3.0-1
unarchiver 1.10.8-6
unrar 1:7.2.2-1
unzip 6.0-23
update-grub 2:2.14rc1-3
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
uv 0.9.17-1
vi 1:070224-6
virt-manager 5.1.0-1
visual-studio-code-bin 1.107.0-1
vkbasalt 0.3.2.10-1
vkd3d-proton-bin 3.0.b-1
vlc 3.0.21-32
volk 1.4.328.1-1
vulkan-headers 1:1.4.328.1-1
w3m 0.5.3.git20230713_1-1
wayland-protocols 1.46-1
weston 14.0.2-2
wget 1.25.0-3
which 2.23-1
wine32 10.20-1
winetricks 20250102-1
wireless-regdb 2025.10.07-1
wpa_supplicant 2:2.11-3
xdg-desktop-portal-kde 6.5.4-1
xdg-user-dirs 0.19-2
xdg-utils 1.2.1-2
xf86-input-elographics 1.4.4-1
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-void 1.4.2-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-nouveau 1.0.18-1
xfsprogs 6.17.0-2
xmousepasteblock-git 1.4.r0.gc4ee870-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-twm 1.0.13.1-1
xorg-xinit 1.4.4-1
xorg-xkill 1.0.6-2
xwayland-run 0.0.4-4
yakuake 25.12.0-1
yay 12.5.3-1
yt-dlp 2025.12.08-1
